market_id,timestamp,open_timestamp,resolution_timestamp,market_probability,btc_price,btc_return_1m,btc_return_5m,btc_return_15m,btc_volatility_15m,final_outcome,outcome
btc-updown-5m-1781442000,1781442187,1781442000,1781442300,0.8750000000,64368.3100000000,0.0001502518,0.0006706550,0.0006957015,0.0002233576,Up,1
btc-updown-5m-1781442300,1781442485,1781442300,1781442600,0.9550000000,64358.6400000000,-0.0002528935,-0.0001502292,0.0009290983,0.0002823890,Up,1
btc-updown-5m-1781442600,1781442784,1781442600,1781442900,0.4550000000,64340.9400000000,-0.0001106482,-0.0002750213,0.0002451606,0.0003360889,Up,1
btc-updown-5m-1781442900,1781443086,1781442900,1781443200,0.9550000000,64378.0100000000,-0.0003124314,0.0005761495,0.0001506953,0.0003089296,Down,0
btc-updown-5m-1781443200,1781443386,1781443200,1781443500,0.6150000000,64326.2400000000,-0.0000228517,-0.0008041566,-0.0005034289,0.0003392960,Up,1
btc-updown-5m-1781443500,1781443684,1781443500,1781443800,0.1550000000,64306.0000000000,-0.0002176617,-0.0003146461,-0.0005430446,0.0003003768,Down,0
btc-updown-5m-1781443800,1781443984,1781443800,1781444100,0.5250000000,64253.5700000000,-0.0002128611,-0.0008153205,-0.0019329582,0.0003599763,Up,1
btc-updown-5m-1781444100,1781444286,1781444100,1781444400,0.5150000000,64302.9900000000,0.0000465008,0.0007691401,-0.0003614388,0.0003786151,Down,0
btc-updown-5m-1781444400,1781444587,1781444400,1781444700,0.9550000000,64376.0000000000,0.0004041959,0.0011354060,0.0010885454,0.0004193664,Up,1
btc-updown-5m-1781444700,1781444885,1781444700,1781445000,0.1950000000,64322.0000000000,-0.0004414890,-0.0008388219,0.0010649992,0.0003522094,Down,0
btc-updown-5m-1781445000,1781445185,1781445000,1781445300,0.5050000000,64303.7000000000,-0.0000116633,-0.0002845061,0.0000110415,0.0002790684,Down,0
btc-updown-5m-1781445300,1781445484,1781445300,1781445600,0.8650000000,64315.7100000000,-0.0001392934,0.0001867700,-0.0009365291,0.0001734120,Up,1
btc-updown-5m-1781445600,1781445785,1781445600,1781445900,0.2250000000,64270.0000000000,-0.0001554138,-0.0007107128,-0.0008084326,0.0001709373,Up,1
btc-updown-5m-1781445900,1781446084,1781445900,1781446200,0.6950000000,64336.0900000000,0.0000161654,0.0010283180,0.0005037035,0.0002834106,Down,0
btc-updown-5m-1781446200,1781446387,1781446200,1781446500,0.3850000000,64316.7400000000,0.0007509124,-0.0003007643,0.0000160147,0.0004028662,Up,1
btc-updown-5m-1781446500,1781446686,1781446500,1781446800,0.2250000000,64266.9700000000,0.0000773396,-0.0007738265,-0.0000471449,0.0004112141,Down,0
btc-updown-5m-1781446800,1781446985,1781446800,1781447100,0.7450000000,64277.9400000000,-0.0005606866,0.0001706942,-0.0009038473,0.0005077658,Down,0
