scenario,dimension,segment,signals,pnl,expectancy,max_drawdown
quote_age_only,spread_regime,medium,280,2.0908369241815237,0.007467274729219728,2.925374662329485
quote_age_only,quote_age_regime,high,26,1.9061521759619178,0.07331354522930453,0.44000000000000006
quote_age_only,quote_age_regime,low,33,0.5368909142080659,0.016269421642668664,0.4254771261386638
quote_age_only,quote_age_regime,medium,279,-1.9140090984699152,-0.006860247664766721,4.329181356029629
recorded_conservative,session_number,1,130,1.6029999999999995,0.012330769230769227,0.875
recorded_conservative,session_number,2,42,2.2499999999999996,0.05357142857142856,0.28
recorded_conservative,session_number,3,166,7.1,0.04277108433734939,0.26
recorded_conservative,asset,BTC,76,3.1644999999999994,0.041638157894736835,0.35300000000000015
recorded_conservative,asset,ETH,80,2.7099999999999995,0.033874999999999995,0.4050000000000002
recorded_conservative,asset,SOL,182,5.078499999999999,0.02790384615384615,0.49149999999999994
recorded_conservative,side,NO,210,6.270499999999999,0.029859523809523805,1.0095
recorded_conservative,side,YES,128,4.6825,0.03658203125,0.41000000000000003
recorded_conservative,external_move_regime,high,12,1.1450000000000002,0.09541666666666668,0.1100000000000001
recorded_conservative,external_move_regime,low,267,6.672999999999999,0.024992509363295876,0.945
recorded_conservative,external_move_regime,medium,59,3.1349999999999993,0.05313559322033897,0.5
recorded_conservative,spread_regime,high,31,1.2899999999999998,0.04161290322580645,0.245
recorded_conservative,spread_regime,low,27,0.32949999999999957,0.012203703703703687,0.4425000000000002
recorded_conservative,spread_regime,medium,280,9.333499999999999,0.03333392857142857,0.9815000000000005
recorded_conservative,quote_age_regime,high,26,2.011,0.07734615384615384,0.44000000000000006
recorded_conservative,quote_age_regime,low,33,1.13,0.03424242424242424,0.345
recorded_conservative,quote_age_regime,medium,279,7.8119999999999985,0.027999999999999994,0.9349999999999998
severe_execution,session_number,1,130,-2.9179136480159147,-0.02244548960012242,2.9926026876221004
severe_execution,session_number,2,42,-1.0181920018163815,-0.024242666709913846,1.0181920018163815
severe_execution,session_number,3,166,-3.513821551229796,-0.02116759970620359,3.5174572260887387
severe_execution,asset,BTC,76,-2.3390749945224982,-0.030777302559506555,2.421821372539562
severe_execution,asset,ETH,80,-1.2815455583731818,-0.016019319479664774,1.2903656006595106
severe_execution,asset,SOL,182,-3.8293066481664124,-0.02104014641849677,3.829306648166411
severe_execution,side,NO,210,-4.391417881800381,-0.02091151372285896,4.391417881800382
severe_execution,side,YES,128,-3.058509319261711,-0.02389460405673212,3.1084007650501038
severe_execution,external_move_regime,high,12,-0.07734977191310766,-0.006445814326092304,0.13737862471945653
severe_execution,external_move_regime,low,267,-5.874581011021078,-0.02200217607123999,5.899381006860472
severe_execution,external_move_regime,medium,59,-1.4979964181279066,-0.025389769798778078,1.5367094973860402
severe_execution,spread_regime,high,31,-1.2385401589536287,-0.03995290835334286,1.255160191557396
severe_execution,spread_regime,low,27,-0.7273888499037835,-0.026940327774214203,0.7273888499037836
severe_execution,spread_regime,medium,280,-5.48399819220468,-0.01958570782930243,5.4839981922046865
severe_execution,quote_age_regime,high,26,0.10791299999999997,0.004150499999999999,0.0625928
severe_execution,quote_age_regime,low,33,-0.7167185076272398,-0.021718742655370903,0.7167185076272398
severe_execution,quote_age_regime,medium,279,-6.841121693434853,-0.024520149438834595,6.84112169343486
spread_only,session_number,1,130,0.29649999999999943,0.0022807692307692264,1.3720000000000003
spread_only,session_number,2,42,1.8199999999999996,0.04333333333333333,0.31999999999999984
spread_only,session_number,3,166,5.884999999999999,0.03545180722891566,0.32500000000000007
spread_only,asset,BTC,76,2.5869999999999997,0.03403947368421052,0.47050000000000014
spread_only,asset,ETH,80,2.2659999999999996,0.028324999999999993,0.4500000000000001
