trial,sample_size,wins,win_rate,pnl_before_slippage,pnl_after_slippage,expectancy_after_slippage,max_drawdown,signals_per_hour
726,172,89,0.5174418604651163,0.8595,-2.5805,-0.015002906976744185,2.6605,7.16666655045718
727,172,88,0.5116279069767442,0.106,-3.334,-0.019383720930232558,3.414,7.16666655045718
728,172,83,0.48255813953488375,-0.114,-3.554,-0.02066279069767442,3.584,7.16666655045718
729,172,86,0.5,0.123,-3.317,-0.019284883720930235,3.432,7.16666655045718
730,172,100,0.5813953488372093,1.9845,-1.4555,-0.00846220930232558,1.7155,7.16666655045718
731,172,77,0.4476744186046512,-0.4485,-3.8885,-0.02260755813953488,3.9935,7.16666655045718
732,172,93,0.5406976744186046,1.1645,-2.2755,-0.013229651162790696,2.3955,7.16666655045718
733,172,71,0.4127906976744186,-0.7575,-4.1975,-0.024404069767441864,4.4325,7.16666655045718
734,172,86,0.5,1.057,-2.383,-0.0138546511627907,2.413,7.16666655045718
735,172,87,0.5058139534883721,0.9515,-2.4885,-0.014468023255813955,2.5935,7.16666655045718
736,172,77,0.4476744186046512,-1.021,-4.461,-0.025936046511627908,4.471,7.16666655045718
737,172,71,0.4127906976744186,-1.076,-4.516,-0.02625581395348837,4.526,7.16666655045718
738,172,80,0.46511627906976744,-0.4465,-3.8865,-0.022595930232558143,4.1015,7.16666655045718
739,172,83,0.48255813953488375,-0.0595,-3.4995,-0.02034593023255814,3.523,7.16666655045718
740,172,79,0.45930232558139533,-0.3965,-3.8365,-0.022305232558139532,3.8365,7.16666655045718
741,172,92,0.5348837209302325,1.2215,-2.2185,-0.012898255813953487,2.4865,7.16666655045718
742,172,79,0.45930232558139533,-0.285,-3.725,-0.02165697674418605,3.995,7.16666655045718
743,172,79,0.45930232558139533,-0.2815,-3.7215,-0.021636627906976746,3.8615,7.16666655045718
744,172,87,0.5058139534883721,0.649,-2.791,-0.016226744186046513,2.9615,7.16666655045718
745,172,84,0.4883720930232558,0.64,-2.8,-0.016279069767441864,2.92,7.16666655045718
746,172,80,0.46511627906976744,-0.3235,-3.7635,-0.021880813953488374,3.8335,7.16666655045718
747,172,80,0.46511627906976744,-0.845,-4.285,-0.02491279069767442,4.285,7.16666655045718
748,172,88,0.5116279069767442,1.524,-1.916,-0.011139534883720935,2.051,7.16666655045718
749,172,81,0.47093023255813954,0.303,-3.137,-0.01823837209302326,3.337,7.16666655045718
750,172,83,0.48255813953488375,-0.1075,-3.5475,-0.020625,3.5575,7.16666655045718
751,172,73,0.42441860465116277,-1.311,-4.751,-0.027622093023255814,4.851,7.16666655045718
752,172,78,0.45348837209302323,0.282,-3.158,-0.018360465116279076,3.308,7.16666655045718
753,172,89,0.5174418604651163,1.516,-1.924,-0.011186046511627908,2.354,7.16666655045718
754,172,73,0.42441860465116277,-1.3835,-4.8235,-0.02804360465116279,4.8435,7.16666655045718
755,172,83,0.48255813953488375,-0.28,-3.72,-0.021627906976744188,3.755,7.16666655045718
756,172,91,0.5290697674418605,1.376,-2.064,-0.012000000000000004,2.4645,7.16666655045718
757,172,93,0.5406976744186046,0.8095,-2.6305,-0.01529360465116279,2.7555,7.16666655045718
758,172,74,0.43023255813953487,-0.813,-4.253,-0.024726744186046513,4.303,7.16666655045718
759,172,78,0.45348837209302323,-0.567,-4.007,-0.02329651162790698,4.132,7.16666655045718
760,172,85,0.4941860465116279,0.4365,-3.0035,-0.01746220930232558,3.537,7.16666655045718
761,172,89,0.5174418604651163,0.681,-2.759,-0.016040697674418604,2.9105,7.16666655045718
762,172,92,0.5348837209302325,1.6495,-1.7905,-0.01040988372093023,2.4055,7.16666655045718
763,172,75,0.436046511627907,-0.9255,-4.3655,-0.02538081395348837,4.3955,7.16666655045718
764,172,89,0.5174418604651163,1.424,-2.016,-0.011720930232558137,2.071,7.16666655045718
765,172,86,0.5,0.383,-3.057,-0.01777325581395349,3.057,7.16666655045718
766,172,83,0.48255813953488375,-0.3605,-3.8005,-0.022095930232558136,3.8005,7.16666655045718
767,172,81,0.47093023255813954,-0.263,-3.703,-0.021529069767441858,3.718,7.16666655045718
768,172,80,0.46511627906976744,-0.4605,-3.9005,-0.022677325581395347,3.9205,7.16666655045718
769,172,81,0.47093023255813954,0.1535,-3.2865,-0.01910755813953488,3.3065,7.16666655045718
770,172,93,0.5406976744186046,1.2825,-2.1575,-0.012543604651162792,2.7785,7.16666655045718
771,172,90,0.5232558139534884,1.1025,-2.3375,-0.013590116279069772,2.4275,7.16666655045718
772,172,85,0.4941860465116279,-0.127,-3.567,-0.020738372093023257,3.657,7.16666655045718
773,172,79,0.45930232558139533,-0.5365,-3.9765,-0.023119186046511628,4.1165,7.16666655045718
774,172,92,0.5348837209302325,0.6335,-2.8065,-0.01631686046511628,2.8215,7.16666655045718
775,172,79,0.45930232558139533,0.4255,-3.0145,-0.017526162790697675,3.4745,7.16666655045718
776,172,80,0.46511627906976744,-0.9525,-4.3925,-0.02553779069767442,4.4805,7.16666655045718
777,172,92,0.5348837209302325,0.6855,-2.7545,-0.016014534883720934,2.9595,7.16666655045718
778,172,80,0.46511627906976744,0.1465,-3.2935,-0.019148255813953494,3.422,7.16666655045718
779,172,80,0.46511627906976744,-0.788,-4.228,-0.024581395348837208,4.273,7.16666655045718
780,172,86,0.5,1.079,-2.361,-0.013726744186046518,2.451,7.16666655045718
781,172,86,0.5,1.1525,-2.2875,-0.013299418604651168,2.4725,7.16666655045718
782,172,82,0.47674418604651164,0.011,-3.429,-0.019936046511627906,3.5965,7.16666655045718
783,172,77,0.4476744186046512,-0.591,-4.031,-0.023436046511627916,4.061,7.16666655045718
784,172,74,0.43023255813953487,-0.2905,-3.7305,-0.021688953488372097,3.7305,7.16666655045718
785,172,78,0.45348837209302323,0.393,-3.047,-0.01771511627906977,3.047,7.16666655045718
786,172,81,0.47093023255813954,0.0545,-3.3855,-0.01968313953488372,3.4305,7.16666655045718
787,172,86,0.5,0.608,-2.832,-0.016465116279069773,2.952,7.16666655045718
788,172,85,0.4941860465116279,-0.1635,-3.6035,-0.020950581395348836,3.6735,7.16666655045718
